cluster_id	protein name	centroid genome	centroid locus	role_ids	frameshift	E00001	E00002	E00003	E00004	E00005	E00031	E00032	E00033	E00034	E00035
396	glutathione S-transferase	E00005	LI66_RS01640			LI62_RS02050	LI63_RS22295	LI64_RS01775	LI65_RS22995	LI66_RS01640	SR65_RS08475	SR75_RS06040	SR76_RS04120	SR68_RS10890	SR69_RS06185
397	"major facilitator superfamily transporter, AGZA family, xanthine/uracil permease"	E00002	LI63_RS22290			LI62_RS02055	LI63_RS22290	LI64_RS01780	LI65_RS22990	LI66_RS01645	SR65_RS08480	SR75_RS06035	SR76_RS04115	SR68_RS10895	SR69_RS06180
398	sodium:proton antiporter	E00001	LI62_RS02060			LI62_RS02060	LI63_RS22285	LI64_RS01785	LI65_RS22985	LI66_RS01650	SR65_RS08485	SR75_RS06030	SR76_RS04110	SR68_RS10900	SR69_RS06175
399	transcriptional regulator	E00002	LI63_RS22280			LI62_RS02065	LI63_RS22280	LI64_RS01790	LI65_RS22980	LI66_RS01655	SR65_RS08490	SR75_RS06025	SR76_RS04105	SR68_RS10905	SR69_RS06170
400	LrgA	E00001	LI62_RS02070			LI62_RS02070	LI63_RS22275	LI64_RS01795	LI65_RS22975	LI66_RS01660	SR65_RS08495	SR75_RS06020	SR76_RS04100	SR68_RS10910	SR69_RS06165
401	Putative effector of murein hydrolase	E00001	LI62_RS02075			LI62_RS02075	LI63_RS22270	LI64_RS01800	LI65_RS22970	LI66_RS01665	SR65_RS08500	SR75_RS06015	SR76_RS04095	SR68_RS10915	SR69_RS06160
402	cation/acetate symporter ActP	E00032	SR75_RS06010			LI62_RS02080	LI63_RS22265	LI64_RS01805	LI65_RS22965	LI66_RS01670	SR65_RS08505	SR75_RS06010	SR76_RS04090	SR68_RS10920	SR69_RS06155
403	membrane protein	E00001	LI62_RS02085			LI62_RS02085	LI63_RS22260	LI64_RS01810	LI65_RS22960	LI66_RS01675	SR65_RS08510	SR75_RS06005	SR76_RS04085	SR68_RS10925	SR69_RS06150
404	acetyl-coenzyme A synthetase	E00002	LI63_RS22255			LI62_RS02090	LI63_RS22255	LI64_RS01815	LI65_RS22955	LI66_RS01680	SR65_RS08515	SR75_RS06000	SR76_RS04080	SR68_RS10930	SR69_RS06145
405	proton glutamate symport protein	E00002	LI63_RS22250			LI62_RS02095	LI63_RS22250	LI64_RS01820	LI65_RS22950	LI66_RS01685	SR65_RS08520	SR75_RS05995	SR76_RS04075	SR68_RS10935	SR69_RS06140
406	hypothetical protein	E00005	LI66_RS01690			LI62_RS02100	LI63_RS22245	LI64_RS01825	LI65_RS22945	LI66_RS01690	SR65_RS08525	SR75_RS05990	SR76_RS04070	SR68_RS10940	SR69_RS06135
407	hypothetical protein	E00001	LI62_RS02105			LI62_RS02105	LI63_RS22240	LI64_RS01830	LI65_RS22940	LI66_RS01695		SR75_RS05985	SR76_RS04065	SR68_RS10945	SR69_RS06130
408	integrase	E00001	LI62_RS02110			LI62_RS02110	LI63_RS22235					SR75_RS05980		SR68_RS10950	SR69_RS06125
409	DNA-binding protein	E00001	LI62_RS02115			LI62_RS02115	LI63_RS22230					SR75_RS05975		SR68_RS10955	SR69_RS06120
410	formate dehydrogenase H	E00002	LI63_RS22225			LI62_RS02120	LI63_RS22225	LI64_RS01835	LI65_RS22935	LI66_RS01700	SR65_RS08535	SR75_RS05970	SR76_RS04060	SR68_RS10960	SR69_RS06115
411	spermidine/putrescine ABC transporter substrate-binding protein	E00001	LI62_RS02125			LI62_RS02125	LI63_RS22220	LI64_RS01840	LI65_RS22930	LI66_RS01705	SR65_RS08540	SR75_RS05965	SR76_RS04055	SR68_RS10965	SR69_RS06110
412	transcriptional regulatory protein ompR	E00002	LI63_RS22215			LI62_RS02130	LI63_RS22215	LI64_RS01845	LI65_RS22925	LI66_RS01710	SR65_RS08545	SR75_RS05960	SR76_RS04050	SR68_RS10970	SR69_RS06105
413	sugar kinase	E00002	LI63_RS22210			LI62_RS02135	LI63_RS22210	LI64_RS01850	LI65_RS22920	LI66_RS01715	SR65_RS08555	SR75_RS05955	SR76_RS04045	SR68_RS10975	SR69_RS06100
414	fructose-bisphosphate aldolase	E00033	SR76_RS04040			LI62_RS02140	LI63_RS22205	LI64_RS01855	LI65_RS22915	LI66_RS01720	SR65_RS08560	SR75_RS05950	SR76_RS04040	SR68_RS10980	SR69_RS06095
415	hypothetical protein	E00002	LI63_RS22200			LI62_RS02145	LI63_RS22200	LI64_RS01860	LI65_RS22910	LI66_RS01725	SR65_RS08565	SR75_RS05945	SR76_RS04035	SR68_RS10985	SR69_RS06090
416	D-ribose-binding protein	E00001	LI62_RS02150			LI62_RS02150	LI63_RS22195	LI64_RS01865	LI65_RS22905	LI66_RS01730	SR65_RS08570	SR75_RS05940	SR76_RS04030	SR68_RS10990	SR69_RS06085
417	ribose ABC transporter permease	E00001	LI62_RS02155			LI62_RS02155	LI63_RS22190	LI64_RS01870	LI65_RS22900	LI66_RS01735	SR65_RS08575	SR75_RS05935	SR76_RS04025	SR68_RS10995	SR69_RS06080
418	D-ribose transporter ATP binding protein	E00005	LI66_RS01740			LI62_RS02160	LI63_RS22185	LI64_RS01875	LI65_RS22895	LI66_RS01740	SR65_RS08580	SR75_RS05930	SR76_RS04020	SR68_RS11000	SR69_RS06075
419	histidine kinase	E00005	LI66_RS01745			LI62_RS02165	LI63_RS22180	LI64_RS01880	LI65_RS22890	LI66_RS01745	SR65_RS08585	SR75_RS05925	SR76_RS04015	SR68_RS11005	SR69_RS06070
420	sugar kinase	E00001	LI62_RS02170			LI62_RS02170			LI65_RS22885				SR76_RS04010		
421	D-allulose 6-phosphate 3-epimerase	E00001	LI62_RS02175			LI62_RS02175			LI65_RS22880				SR76_RS04005		
422	ribose ABC transporter permease	E00001	LI62_RS02180			LI62_RS02180			LI65_RS22875				SR76_RS04000		
423	D-allose transporter ATP-binding protein	E00033	SR76_RS03995			LI62_RS02185			LI65_RS22870				SR76_RS03995		
424	D-allose transporter subunit	E00004	LI65_RS22865			LI62_RS02190			LI65_RS22865				SR76_RS03990		
425	Transcriptional regulators	E00001	LI62_RS02195			LI62_RS02195			LI65_RS22860				SR76_RS03985		
426	ribose-5-phosphate isomerase B	E00001	LI62_RS02200			LI62_RS02200			LI65_RS22855				SR76_RS03980		
427	hypothetical protein	E00002	LI63_RS22175			LI62_RS02205	LI63_RS22175	LI64_RS01885	LI65_RS22850	LI66_RS01750	SR65_RS08590	SR75_RS05920	SR76_RS03975	SR68_RS11010	SR69_RS06065
428	protein phnP	E00002	LI63_RS22170			LI62_RS02210	LI63_RS22170	LI64_RS01890	LI65_RS22845	LI66_RS01755	SR65_RS08595	SR75_RS05915	SR76_RS03970	SR68_RS11015	SR69_RS06060
429	"Acetyltransferase, GNAT family"	E00001	LI62_RS02215			LI62_RS02215	LI63_RS22165	LI64_RS01895	LI65_RS22840	LI66_RS01760	SR65_RS08600	SR75_RS05910	SR76_RS03965	SR68_RS11020	SR69_RS06055
430	ribose-phosphate pyrophosphokinase	E00002	LI63_RS22160			LI62_RS02220	LI63_RS22160	LI64_RS01900	LI65_RS22835	LI66_RS01765	SR65_RS08605	SR75_RS05905	SR76_RS03960	SR68_RS11025	SR69_RS06050
431	phosphonate metabolism protein PhnM	E00005	LI66_RS01770			LI62_RS02225	LI63_RS22155	LI64_RS01905	LI65_RS22830	LI66_RS01770	SR65_RS08610	SR75_RS05900	SR76_RS03955	SR68_RS11030	SR69_RS06045
432	phosphonate ABC transporter ATP-binding protein	E00002	LI63_RS22150			LI62_RS02230	LI63_RS22150	LI64_RS01910	LI65_RS22825	LI66_RS01775	SR65_RS08615	SR75_RS05895	SR76_RS03950	SR68_RS11035	SR69_RS06040
433	phosphonate C-P lyase	E00002	LI63_RS22145			LI62_RS02235	LI63_RS22145	LI64_RS01915	LI65_RS22820	LI66_RS01780	SR65_RS08620	SR75_RS05890	SR76_RS03945	SR68_RS11040	SR69_RS06035
434	carbon-phosphorus lyase complex subunit PhnJ	E00003	LI64_RS01920			LI62_RS02240	LI63_RS22140	LI64_RS01920	LI65_RS22815	LI66_RS01785	SR65_RS08625	SR75_RS05885	SR76_RS03940	SR68_RS11045	SR69_RS06030
435	carbon-phosphorus lyase complex subunit PhnI	E00002	LI63_RS22135			LI62_RS02245	LI63_RS22135	LI64_RS01925	LI65_RS22810	LI66_RS01790	SR65_RS08630	SR75_RS05880	SR76_RS03935	SR68_RS11050	SR69_RS06025
436	phosphonate C-P lyase system protein PhnH	E00001	LI62_RS02250			LI62_RS02250	LI63_RS22130	LI64_RS01930	LI65_RS22805	LI66_RS01795	SR65_RS08635	SR75_RS05875	SR76_RS03930	SR68_RS11055	SR69_RS06020
437	phosphonate C-P lyase system protein PhnG	E00002	LI63_RS22125			LI62_RS02255	LI63_RS22125	LI64_RS01935	LI65_RS22800	LI66_RS01800	SR65_RS08640	SR75_RS05870	SR76_RS03925	SR68_RS11060	SR69_RS06015
438	GntR family transcriptional regulator	E00001	LI62_RS02260			LI62_RS02260	LI63_RS22120	LI64_RS01940	LI65_RS22795	LI66_RS01805	SR65_RS08645	SR75_RS05865	SR76_RS03920	SR68_RS11065	SR69_RS06010
439	phosphonate ABC transporter permease	E00033	SR76_RS03915			LI62_RS02265	LI63_RS22115	LI64_RS01945	LI65_RS22790	LI66_RS01810	SR65_RS08650	SR75_RS05860	SR76_RS03915	SR68_RS11070	SR69_RS06005
440	"phosphonate ABC transporter, periplasmic phosphonate binding protein"	E00002	LI63_RS22110			LI62_RS02270	LI63_RS22110	LI64_RS01950	LI65_RS22785	LI66_RS01815	SR65_RS08655	SR75_RS05855	SR76_RS03910	SR68_RS11075	SR69_RS06000
441	phosphonate ABC transporter ATP-binding protein	E00003	LI64_RS01955			LI62_RS02275	LI63_RS22105	LI64_RS01955	LI65_RS22780	LI66_RS01820	SR65_RS08660	SR75_RS05850	SR76_RS03905	SR68_RS11080	SR69_RS05995
442	hypothetical protein	E00002	LI63_RS22100			LI62_RS02280	LI63_RS22100	LI64_RS01960	LI65_RS22775	LI66_RS01825	SR65_RS08665	SR75_RS05845	SR76_RS03900	SR68_RS11085	SR69_RS05990
443	hypothetical protein	E00001	LI62_RS02285			LI62_RS02285	LI63_RS22095	LI64_RS01965	LI65_RS22770	LI66_RS01830	SR65_RS08670	SR75_RS05840	SR76_RS03895	SR68_RS11090	SR69_RS05985
444	hypothetical protein	E00002	LI63_RS22090			LI62_RS02290	LI63_RS22090	LI64_RS01970	LI65_RS22765	LI66_RS01835	SR65_RS08675	SR75_RS05835	SR76_RS03890	SR68_RS11095	SR69_RS05980
445	hypothetical protein	E00005	LI66_RS01840			LI62_RS02295	LI63_RS22085	LI64_RS01975	LI65_RS22760	LI66_RS01840	SR65_RS08680	SR75_RS05830	SR76_RS03885	SR68_RS11100	SR69_RS05975
446	2-keto-3-deoxygluconate permease	E00002	LI63_RS22080			LI62_RS02300	LI63_RS22080	LI64_RS01980	LI65_RS22755	LI66_RS01845	SR65_RS08685	SR75_RS05825	SR76_RS03880	SR68_RS11105	SR69_RS05970
447	proline/glycine betaine transporter	E00002	LI63_RS22075			LI62_RS02305	LI63_RS22075	LI64_RS01985	LI65_RS22750	LI66_RS01850	SR65_RS08690	SR75_RS05820	SR76_RS03875	SR68_RS11110	SR69_RS05965
448	nickel transporter	E00002	LI63_RS22070			LI62_RS02310	LI63_RS22070	LI64_RS01990	LI65_RS22745	LI66_RS01855		SR75_RS05815	SR76_RS16195	SR68_RS19210	SR69_RS05960
449	hypothetical protein	E00002	LI63_RS22045			LI62_RS02335	LI63_RS22045	LI64_RS02015	LI65_RS22720	LI66_RS01880		SR75_RS15720	SR76_RS13585	SR68_RS14760	SR69_RS12625
450	AraC family transcriptional regulator	E00002	LI63_RS16200			LI62_RS02345	LI63_RS16200	LI64_RS02025	LI65_RS22710	LI66_RS01890		SR75_RS11005	SR76_RS13575	SR68_RS04830	SR69_RS11650
451	lysine transporter LysE	E00005	LI66_RS01895			LI62_RS02350	LI63_RS16195	LI64_RS02030	LI65_RS22705	LI66_RS01895		SR75_RS11000	SR76_RS13570	SR68_RS04825	SR69_RS11645
452	transcriptional regulator	E00002	LI63_RS16190			LI62_RS02355	LI63_RS16190	LI64_RS02035	LI65_RS22700	LI66_RS01900	SR65_RS19990	SR75_RS10995	SR76_RS13565	SR68_RS04820	SR69_RS11640
453	thiol:disulfide interchange protein precursor	E00002	LI63_RS16185			LI62_RS02360	LI63_RS16185	LI64_RS02040	LI65_RS22695	LI66_RS01905	SR65_RS19985	SR75_RS10990	SR76_RS13560	SR68_RS04815	SR69_RS11635
454	divalent ion tolerance protein CutA	E00002	LI63_RS16180			LI62_RS02365	LI63_RS16180	LI64_RS02045	LI65_RS22690	LI66_RS01910	SR65_RS19980	SR75_RS10985	SR76_RS13555	SR68_RS04810	SR69_RS11630
455	C4-dicarboxylate ABC transporter	E00001	LI62_RS02370			LI62_RS02370	LI63_RS16175	LI64_RS02050	LI65_RS22685	LI66_RS01915	SR65_RS19975	SR75_RS10980	SR76_RS13550	SR68_RS04805	SR69_RS11625
456	aspartate ammonia-lyase	E00002	LI63_RS16170			LI62_RS02375	LI63_RS16170	LI64_RS02055	LI65_RS22680	LI66_RS01920	SR65_RS19970	SR75_RS10975	SR76_RS13545	SR68_RS04800	SR69_RS11620
457	exclusion suppressor FxsA	E00001	LI62_RS02380			LI62_RS02380	LI63_RS16165	LI64_RS02060	LI65_RS22675	LI66_RS01925	SR65_RS19965	SR75_RS10970	SR76_RS13540	SR68_RS04795	SR69_RS11615
458	transporter	E00001	LI62_RS02385			LI62_RS02385	LI63_RS16160	LI64_RS02065	LI65_RS22670	LI66_RS01930	SR65_RS19960	SR75_RS10965	SR76_RS13535	SR68_RS04790	SR69_RS11610
459	co-chaperonin GroES	E00001	LI62_RS02390			LI62_RS02390	LI63_RS16155	LI64_RS02070	LI65_RS22665	LI66_RS01935	SR65_RS19955	SR75_RS10960	SR76_RS13530	SR68_RS04785	SR69_RS11605
460	molecular chaperone GroEL	E00001	LI62_RS02395			LI62_RS02395	LI63_RS16150	LI64_RS02075	LI65_RS22660	LI66_RS01940	SR65_RS19950	SR75_RS10955	SR76_RS13525	SR68_RS04780	SR69_RS11600
461	isoaspartyl dipeptidase	E00002	LI63_RS16145			LI62_RS02400	LI63_RS16145	LI64_RS02080	LI65_RS22655	LI66_RS01945	SR65_RS19945	SR75_RS10950	SR76_RS13520	SR68_RS04775	SR69_RS11595
462	membrane protein	E00003	LI64_RS02085			LI62_RS02405	LI63_RS16140	LI64_RS02085	LI65_RS22650	LI66_RS01950	SR65_RS19940	SR75_RS10945	SR76_RS13515	SR68_RS04770	SR69_RS11590
463	hypothetical protein	E00002	LI63_RS16135			LI62_RS02410	LI63_RS16135	LI64_RS02090	LI65_RS22645	LI66_RS01955	SR65_RS19935	SR75_RS10940	SR76_RS13510	SR68_RS04765	SR69_RS11585
464	membrane protein	E00002	LI63_RS16130			LI62_RS02415	LI63_RS16130	LI64_RS02095	LI65_RS22640	LI66_RS01960	SR65_RS19930	SR75_RS10935	SR76_RS13505	SR68_RS04760	SR69_RS11580
465	"lysine 2,3-aminomutase"	E00005	LI66_RS01965			LI62_RS02420	LI63_RS16125	LI64_RS02100	LI65_RS22635	LI66_RS01965	SR65_RS19925	SR75_RS10930	SR76_RS13500	SR68_RS04755	SR69_RS11575
466	elongation factor P	E00001	LI62_RS02425			LI62_RS02425	LI63_RS16120	LI64_RS02105	LI65_RS22630	LI66_RS01970	SR65_RS19920	SR75_RS10925	SR76_RS13495	SR68_RS04750	SR69_RS11570
467	putative small secreted protein	E00001	LI62_RS02430			LI62_RS02430	LI63_RS16115	LI64_RS02110	LI65_RS22625	LI66_RS01975	SR65_RS19915	SR75_RS10920	SR76_RS13490	SR68_RS04745	SR69_RS11565
468	entericidin B membrane lipoprotein	E00001	LI62_RS02435			LI62_RS02435	LI63_RS16110	LI64_RS02115	LI65_RS22620	LI66_RS01980	SR65_RS19910	SR75_RS10915	SR76_RS13485	SR68_RS04740	SR69_RS11560
469	LuxR family two-component system transcriptional regulator	E00005	LI66_RS01985			LI62_RS02440	LI63_RS16105	LI64_RS02120	LI65_RS22615	LI66_RS01985	SR65_RS19905	SR75_RS10910	SR76_RS13480	SR68_RS04735	SR69_RS11555
470	multidrug transporter	E00002	LI63_RS16100			LI62_RS02445	LI63_RS16100	LI64_RS02125	LI65_RS22610	LI66_RS01990	SR65_RS19900	SR75_RS10905	SR76_RS13475	SR68_RS04730	SR69_RS11550
471	membrane protein	E00032	SR75_RS10900			LI62_RS02450	LI63_RS16095	LI64_RS02130	LI65_RS22605	LI66_RS01995	SR65_RS19895	SR75_RS10900	SR76_RS13470	SR68_RS04725	SR69_RS11545
472	CMY/LAT/MOX/ACT/MIR/FOX family class C beta-lactamase	E00002	LI63_RS16090			LI62_RS02455	LI63_RS16090	LI64_RS02135	LI65_RS22600	LI66_RS02000	SR65_RS19890	SR75_RS10895	SR76_RS13465	SR68_RS04720	SR69_RS11540
473	HTH-type transcriptional activator AmpR	E00002	LI63_RS16085			LI62_RS02460	LI63_RS16085	LI64_RS02140	LI65_RS22595	LI66_RS02005	SR65_RS19885	SR75_RS10890	SR76_RS13460	SR68_RS04715	SR69_RS11535
474	fumarate reductase subunit D	E00002	LI63_RS16080			LI62_RS02465	LI63_RS16080	LI64_RS02145	LI65_RS22590	LI66_RS02010	SR65_RS19880	SR75_RS10885	SR76_RS13455	SR68_RS04710	SR69_RS11530
475	fumarate reductase subunit C	E00002	LI63_RS16075			LI62_RS02470	LI63_RS16075	LI64_RS02150	LI65_RS22585	LI66_RS02015	SR65_RS19875	SR75_RS10880	SR76_RS13450	SR68_RS04705	SR69_RS11525
476	fumarate reductase iron-sulfur subunit	E00002	LI63_RS16070			LI62_RS02475	LI63_RS16070	LI64_RS02155	LI65_RS22580	LI66_RS02020	SR65_RS19870	SR75_RS10875	SR76_RS13445	SR68_RS04700	SR69_RS11520
477	fumarate reductase flavoprotein subunit	E00005	LI66_RS02025			LI62_RS02480	LI63_RS16065	LI64_RS02160	LI65_RS22575	LI66_RS02025	SR65_RS19865	SR75_RS10870	SR76_RS13440	SR68_RS04695	SR69_RS11515
478	lysyl-tRNA synthetase	E00002	LI63_RS16060			LI62_RS02485	LI63_RS16060	LI64_RS02165	LI65_RS22570	LI66_RS02030	SR65_RS19860	SR75_RS10865	SR76_RS13435	SR68_RS04690	SR69_RS11510
479	amino acid ABC transporter permease	E00002	LI63_RS16055			LI62_RS02490	LI63_RS16055	LI64_RS02170	LI65_RS22565	LI66_RS02035	SR65_RS19855	SR75_RS10860	SR76_RS13430	SR68_RS04685	SR69_RS11505
480	mechanosensitive channel protein	E00033	SR76_RS13425			LI62_RS02495	LI63_RS16050	LI64_RS02175	LI65_RS22560	LI66_RS02040	SR65_RS19850	SR75_RS10855	SR76_RS13425	SR68_RS04680	SR69_RS11500
481	phosphatidylserine decarboxylase	E00005	LI66_RS02045			LI62_RS02500	LI63_RS16045	LI64_RS02180	LI65_RS22555	LI66_RS02045	SR65_RS19845	SR75_RS10850	SR76_RS13420	SR68_RS04675	SR69_RS11495
482	GTPase RsgA	E00001	LI62_RS02505			LI62_RS02505	LI63_RS16040	LI64_RS02185	LI65_RS22550	LI66_RS02050	SR65_RS19840	SR75_RS10845	SR76_RS13415	SR68_RS04670	SR69_RS11490
483	oligoribonuclease	E00001	LI62_RS02510			LI62_RS02510	LI63_RS16035	LI64_RS02190	LI65_RS22545	LI66_RS02055	SR65_RS19835	SR75_RS10840	SR76_RS13410	SR68_RS04665	SR69_RS11485
484	iron-sulfur cluster binding protein	E00005	LI66_RS02075			LI62_RS02530	LI63_RS16015	LI64_RS02210	LI65_RS22525	LI66_RS02075	SR65_RS13020	SR75_RS09270	SR76_RS24230	SR68_RS16755	SR69_RS22435
485	carbohydrate kinase	E00002	LI63_RS16010			LI62_RS02535	LI63_RS16010	LI64_RS02215	LI65_RS22520	LI66_RS02080	SR65_RS13025	SR75_RS09275	SR76_RS24225	SR68_RS16760	SR69_RS22440
486	ADP-binding protein	E00002	LI63_RS16005			LI62_RS02540	LI63_RS16005	LI64_RS02220	LI65_RS22515	LI66_RS02085	SR65_RS13030	SR75_RS09280	SR76_RS24220	SR68_RS16765	SR69_RS22445
487	N-acetylmuramoyl-L-alanine amidase	E00002	LI63_RS16000			LI62_RS02545	LI63_RS16000	LI64_RS02225	LI65_RS22510	LI66_RS02090	SR65_RS13035	SR75_RS09285	SR76_RS24215	SR68_RS16770	SR69_RS22450
488	DNA mismatch repair protein	E00001	LI62_RS02550			LI62_RS02550	LI63_RS15995	LI64_RS02230	LI65_RS22505	LI66_RS02095	SR65_RS13040	SR75_RS09290	SR76_RS24210	SR68_RS16775	SR69_RS22455
489	tRNA delta(2)-isopentenylpyrophosphate transferase	E00002	LI63_RS15990			LI62_RS02555	LI63_RS15990	LI64_RS02235	LI65_RS22500	LI66_RS02100	SR65_RS13045	SR75_RS09295	SR76_RS24205	SR68_RS16780	SR69_RS22460
490	RNA-binding protein Hfq	E00001	LI62_RS02560			LI62_RS02560	LI63_RS15985	LI64_RS02240	LI65_RS22495	LI66_RS02105	SR65_RS13050	SR75_RS09300	SR76_RS24200	SR68_RS16785	SR69_RS22465
491	GTPase HflX	E00001	LI62_RS02565			LI62_RS02565	LI63_RS15980	LI64_RS02245	LI65_RS22490	LI66_RS02110	SR65_RS13055	SR75_RS09305	SR76_RS24195	SR68_RS16790	SR69_RS22470
492	cell division protein FtsH	E00001	LI62_RS02570			LI62_RS02570	LI63_RS15975	LI64_RS02250	LI65_RS22485	LI66_RS02115	SR65_RS13060	SR75_RS09310	SR76_RS24190	SR68_RS16795	SR69_RS22475
493	cell division protein FtsH	E00001	LI62_RS02575			LI62_RS02575	LI63_RS15970	LI64_RS02255	LI65_RS22480	LI66_RS02120	SR65_RS13065	SR75_RS09315	SR76_RS24185	SR68_RS16800	SR69_RS22480
494	membrane protein	E00001	LI62_RS02580			LI62_RS02580	LI63_RS15965	LI64_RS02260	LI65_RS22475	LI66_RS02125	SR65_RS13070	SR75_RS09320	SR76_RS24180	SR68_RS16805	SR69_RS22485
495	adenylosuccinate synthetase	E00001	LI62_RS02585			LI62_RS02585	LI63_RS15960	LI64_RS02265	LI65_RS22470	LI66_RS02130	SR65_RS13075	SR75_RS09325	SR76_RS24175	SR68_RS16810	SR69_RS22490
496	transcriptional regulator	E00001	LI62_RS02590			LI62_RS02590	LI63_RS15955	LI64_RS02270	LI65_RS22465	LI66_RS02135	SR65_RS13080	SR75_RS09330	SR76_RS24170	SR68_RS16815	SR69_RS22495
497	ribonuclease R	E00002	LI63_RS15950			LI62_RS02595	LI63_RS15950	LI64_RS02275	LI65_RS22460	LI66_RS02140	SR65_RS13085	SR75_RS09335	SR76_RS24165	SR68_RS16820	SR69_RS22500
498	23S rRNA (guanosine-2'-O-)-methyltransferase	E00003	LI64_RS02280			LI62_RS02600	LI63_RS15945	LI64_RS02280	LI65_RS22455	LI66_RS02145	SR65_RS13090	SR75_RS09340	SR76_RS24160	SR68_RS16825	SR69_RS22505
499	Arabinose efflux permease	E00001	LI62_RS02605			LI62_RS02605	LI63_RS15940	LI64_RS02285	LI65_RS22450	LI66_RS02150	SR65_RS13095	SR75_RS09345	SR76_RS24155	SR68_RS16830	SR69_RS22510
500	isovaleryl-CoA dehydrogenase	E00002	LI63_RS15935			LI62_RS02610	LI63_RS15935	LI64_RS02290	LI65_RS22445	LI66_RS02155	SR65_RS13100	SR75_RS09350	SR76_RS24150	SR68_RS16835	SR69_RS22515
501	methyl-accepting chemotaxis sensory transducer	E00002	LI63_RS15930			LI62_RS02615	LI63_RS15930	LI64_RS02295	LI65_RS22440	LI66_RS02160	SR65_RS13105	SR75_RS09355	SR76_RS24145	SR68_RS16840	SR69_RS22520
502	membrane protein	E00001	LI62_RS02620			LI62_RS02620	LI63_RS15925	LI64_RS02300	LI65_RS22435	LI66_RS02165	SR65_RS13110	SR75_RS09360	SR76_RS24140	SR68_RS16845	SR69_RS22525
503	transporter	E00002	LI63_RS15920			LI62_RS02625	LI63_RS15920	LI64_RS02305	LI65_RS22430	LI66_RS02170	SR65_RS13115	SR75_RS09365	SR76_RS24135	SR68_RS16850	SR69_RS22530
504	esterase	E00002	LI63_RS15915			LI62_RS02630	LI63_RS15915	LI64_RS02310	LI65_RS22425	LI66_RS02175	SR65_RS13120	SR75_RS09370	SR76_RS24130	SR68_RS16855	SR69_RS22535
505	transcriptional regulator	E00001	LI62_RS02635			LI62_RS02635	LI63_RS15910	LI64_RS02315	LI65_RS22420	LI66_RS02180	SR65_RS13125	SR75_RS09375	SR76_RS24125	SR68_RS16860	SR69_RS22540
506	L-ascorbate 6-phosphate lactonase	E00001	LI62_RS02640			LI62_RS02640	LI63_RS15905	LI64_RS02320	LI65_RS22415	LI66_RS02185	SR65_RS13130	SR75_RS09380	SR76_RS24120	SR68_RS16865	SR69_RS22545
507	PTS ascorbate transporter subunit IIC	E00002	LI63_RS15900			LI62_RS02645	LI63_RS15900	LI64_RS02325	LI65_RS22410	LI66_RS02190	SR65_RS13135	SR75_RS09385	SR76_RS24115	SR68_RS16870	SR69_RS22550
508	PTS ascorbate transporter subunit IIB	E00001	LI62_RS02650			LI62_RS02650	LI63_RS15895	LI64_RS02330	LI65_RS22405	LI66_RS02195	SR65_RS13140	SR75_RS09390	SR76_RS24110	SR68_RS16875	SR69_RS22555
509	PTS ascorbate transporter subunit IIA	E00002	LI63_RS15890			LI62_RS02655	LI63_RS15890	LI64_RS02335	LI65_RS22400	LI66_RS02200	SR65_RS13145	SR75_RS09395	SR76_RS24105	SR68_RS16880	SR69_RS22560
510	3-keto-L-gulonate-6-phosphate decarboxylase	E00002	LI63_RS15885			LI62_RS02660	LI63_RS15885	LI64_RS02340	LI65_RS22395	LI66_RS02205	SR65_RS13150	SR75_RS09400	SR76_RS24100	SR68_RS16885	SR69_RS22565
511	L-ribulose-5-phosphate 3-epimerase ulaE	E00002	LI63_RS15880			LI62_RS02665	LI63_RS15880	LI64_RS02345	LI65_RS22390	LI66_RS02210	SR65_RS13155	SR75_RS09405	SR76_RS24095	SR68_RS16890	SR69_RS22570
512	L-ribulose-5-phosphate 4-epimerase	E00002	LI63_RS15875			LI62_RS02670	LI63_RS15875	LI64_RS02350	LI65_RS22385	LI66_RS02215	SR65_RS13160	SR75_RS09410	SR76_RS24090	SR68_RS16895	SR69_RS22575
513	membrane protein	E00001	LI62_RS02675			LI62_RS02675	LI63_RS15870	LI64_RS02355	LI65_RS22380	LI66_RS02220	SR65_RS13165	SR75_RS09415	SR76_RS24085	SR68_RS16900	SR69_RS22580
514	30S ribosomal protein S6	E00001	LI62_RS02680			LI62_RS02680	LI63_RS15865	LI64_RS02360	LI65_RS22375	LI66_RS02225	SR65_RS13170	SR75_RS09420	SR76_RS24080	SR68_RS16905	SR69_RS22585
515	primosomal replication protein N	E00001	LI62_RS02685			LI62_RS02685	LI63_RS15860	LI64_RS02365	LI65_RS22370	LI66_RS02230	SR65_RS13175	SR75_RS09425	SR76_RS24075	SR68_RS16910	SR69_RS22590
516	30S ribosomal protein S18	E00001	LI62_RS02690			LI62_RS02690	LI63_RS15855	LI64_RS02370	LI65_RS22365	LI66_RS02235	SR65_RS13180	SR75_RS09430	SR76_RS24070	SR68_RS16915	SR69_RS22595
517	50S ribosomal protein L9	E00002	LI63_RS15850			LI62_RS02695	LI63_RS15850	LI64_RS02375	LI65_RS22360	LI66_RS02240	SR65_RS13185	SR75_RS09435	SR76_RS24065	SR68_RS16920	SR69_RS22600
